搜索词,ID,项目名称,造价(百万),项目阶段,省份,城市,公布时间,区域,建面(㎡),行业分类,纬度,经度
供水,1348106,利辛县“十四五”农村供水保障(城乡供水一体化)项目 (利辛县开源水务有限公司) v.3,500.0,主体工程中标/开工,安徽省,亳州市,2022-10-27,华东区,,公用事业设施,33.8490794,115.7730968
供水,1593041,本溪县城乡供水一体化项目 (本溪满族自治县水务局),215.0,构思,辽宁省,本溪市,2022-10-27,华北区,,公用事业设施/基础建设,41.2921601,123.7593948
供水,1565526,新乐市供水设施提质增效项目(河北鑫发建设发展有限公司) v.2,542.0,施工单位招标,河北省,石家庄市,2022-10-27,华北区,,公用事业设施/基础建设,38.0429742,114.5088385
供水,1574082,宾阳县城乡供水一体化供水网及水网配套工程二期项目第二期工程 (广西宾阳县鲲鹏水利投资有限公司) v.2,1460.0,设计,广西省,南宁市,2022-10-27,华南区,,公用事业设施/基础建设,22.8193063,108.3627211
供水,1593952,安徽省六安市金安区六金土划[2022]82号望城街道大岗头村公用设施用地项目(南山供水站)(六安市金安自来水有限公司),,未确定,安徽省,六安市,2022-10-27,华东区,,公用事业设施,31.7383487,116.5142252
供水,1593679,贵州省铜仁地区202-78号中兴街道中坝村公用设施用地项目(中兴街道供水设施项目)(印江自治县中兴街道办事处),,未确定,贵州省,铜仁市,2022-10-26,华西区,,公用事业设施,27.7347312,109.1852081
供水,1537346,阳新县城乡供水支网建设工程(EPC) (阳新县城发水务有限公司)v.3,1500.0,主体工程中标/开工,湖北省,黄石市,2022-10-26,华南区,,公用事业设施/基础建设,30.2024971,115.0334144
供水,1541413,烈山群众喝上引调水—城乡供水一体化工程 (烈山区农业农村水利局) v.2,150.0,设计,安徽省,淮北市,2022-10-26,华东区,,公用事业设施/基础建设,33.9566098,116.7928916
供水,1591885,广东省东莞市441906008004GB00076号虎门镇居歧路北侧公用设施用地项目(东莞市水务集团供水有限公司),,未确定,广东省,东莞市,2022-10-25,华南区,,公用事业设施,23.0205969,113.7457788
供水,1588446,大姚县城乡供水一体化建设项目（二期）(大姚县水务局),200.0,设计,云南省,楚雄彝族自治州,2022-10-25,华西区,,公用事业设施/基础建设,25.4320355,101.7047854
供水,1457466,乳源瑶族自治县城乡供水一体化建设工程 (乳源瑶族自治县水利水保建设事务中心) v.3,600.0,设计,广东省,韶关市,2022-10-24,华南区,,公用事业设施/基础建设,24.8136095,113.5922116
供水,1588613,廉江市高桥镇城乡一体化自来水工程 (廉江市供水服务中心),120.0,构思,广东省,湛江市,2022-10-24,华南区,,公用事业设施,21.2737079,110.3548318
供水,1588480,廉江市吉水镇城乡一体化自来水工程 (廉江市供水服务中心),160.0,构思,广东省,湛江市,2022-10-24,华南区,,公用事业设施,21.2737079,110.3548318
供水,1518337,临泉县城乡供水一体化(群众喝上引调水工程) (临泉县水利局) v.2,1000.0,设计,安徽省,阜阳市,2022-10-24,华东区,,公用事业设施/基础建设,32.8926763,115.8090001
供水,1569148,农村饮用水中宁梅区域供水一体化工程 (宁国市乡投水务开发有限公司) v.2,150.0,设计,安徽省,宣城市,2022-10-24,华东区,,公用事业设施/基础建设,30.9412541,118.7540167
供水,1484687,古城区金沙江河谷光伏提水供水工程(丽江市古城区水务局) v.2,380.0,设计,云南省,丽江市,2022-10-23,华西区,,公用事业设施/基础建设,26.8595868,100.2249797
供水,1556580,金桥供水加压站工程(广西绿城水务股份有限公司) v.2,292.32,设计,广西省,南宁市,2022-10-22,华南区,,公用事业设施,22.8193063,108.3627211
供水,1434112,永善县城乡供水一体化项目(永善县水务局) v.2,214.21,构思,云南省,昭通市,2022-10-21,华西区,,公用事业设施/基础建设,27.3417508,103.7146923
